GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ask_Portal Maven Webapp,com.prokarma.userprofile.model,UserProfileBean,0,52,0,0,0,23,0,15,0,15
Ask_Portal Maven Webapp,com.prokarma.userprofile.model,ResponseBean,0,10,0,0,0,5,0,3,0,3
Ask_Portal Maven Webapp,com.prokarma.searchquery.controller,SearchController,0,13,0,0,0,3,0,2,0,2
Ask_Portal Maven Webapp,com.prokarma.login.dao,LoginDaoImple,0,42,0,0,0,7,0,3,0,3
Ask_Portal Maven Webapp,com.prokarma.login.dao,LoginDaoImple.new RowMapper() {...},0,27,0,0,0,6,0,2,0,2
Ask_Portal Maven Webapp,com.prokarma.login.controller,LoginController,0,13,0,0,0,4,0,3,0,3
Ask_Portal Maven Webapp,com.prokarma.sme.dao,SmeDaoImpl,6,134,2,2,2,31,2,4,0,4
Ask_Portal Maven Webapp,com.prokarma.admin.controller,AdminController,0,24,0,0,0,5,0,3,0,3
Ask_Portal Maven Webapp,com.prokarma.forgotpassword.controller,ForgotPasswordController,19,3,0,0,4,1,1,1,1,1
Ask_Portal Maven Webapp,com.prokarma.common.util,AskAspectClass,5,21,0,0,2,8,0,3,0,3
Ask_Portal Maven Webapp,com.prokarma.common.util,CommonUtil,0,46,2,6,0,9,2,5,0,3
Ask_Portal Maven Webapp,com.prokarma.viewpost.service,ViewAllPostService,12,230,1,13,3,56,1,12,0,6
Ask_Portal Maven Webapp,com.prokarma.searchquery.dao,SearchDaoImpl,0,16,0,0,0,4,0,2,0,2
Ask_Portal Maven Webapp,com.prokarma.searchquery.dao,SearchDaoImpl.new RowMapper() {...},0,10,0,0,0,2,0,2,0,2
Ask_Portal Maven Webapp,com.prokarma.viewpost.dao,ViewDaoImpl.new RowMapper() {...},0,87,0,0,0,18,0,2,0,2
Ask_Portal Maven Webapp,com.prokarma.viewpost.dao,ViewDaoImpl,5,139,2,10,2,24,2,7,0,3
